İlçe,Metrekare (Net),Oda Sayısı,Bulunduğu Kat,Kat Sayısı,Balkon Durumu,Eşya Durumu,Kullanım Durumu,Sitede Olma Durumu,Kimden,Salon Sayısı,Bina Yaşı Sınıfı,Isınma Sınıfı,Fiyat (TL)
4,85.0,2.0,2,4,1,0,2,1,2,1.0,4,6,3199000.0
4,200.0,3.0,1,3,1,0,0,1,2,2.0,8,6,3550000.0
4,90.0,2.0,2,5,1,0,0,1,2,1.0,0,6,5875000.0
4,200.0,3.0,3,3,1,0,0,0,2,2.0,0,6,3450000.0
4,170.0,3.5,6,17,1,1,0,1,2,1.0,5,6,8250000.0
4,370.0,5.0,4,4,1,1,0,1,2,2.0,0,6,25000000.0
4,120.0,3.0,3,4,1,0,2,0,2,1.0,4,6,2600000.0
4,90.0,2.0,-1,5,1,0,1,0,2,1.0,5,6,1950000.0
4,90.0,1.0,1,5,1,0,0,1,2,1.0,3,6,1850000.0
4,105.0,3.0,2,4,0,0,0,0,2,1.0,9,2,1800000.0
4,140.0,3.0,6,6,1,1,0,1,2,1.0,9,6,3500000.0
2,90.0,2.0,6,7,1,0,0,1,2,1.0,10,6,2200000.0
2,80.0,2.0,2,4,1,0,2,0,1,1.0,5,6,2350000.0
2,130.0,3.0,2,4,1,0,1,0,2,1.0,10,6,3150000.0
2,40.0,1.0,12,15,0,0,0,1,2,0.0,0,5,1750000.0
2,180.0,5.0,3,3,1,0,1,0,2,2.0,6,6,4250000.0
2,110.0,3.0,2,3,0,0,1,0,2,1.0,7,6,3000000.0
2,50.0,1.0,6,15,0,1,0,1,2,1.0,5,5,2650000.0
2,120.0,3.0,3,3,1,0,1,0,1,1.0,5,6,2950000.0
2,85.0,2.0,1,1,1,0,0,0,2,1.0,5,6,2650000.0
2,140.0,4.0,3,3,1,0,1,0,2,1.0,5,6,2700000.0
2,150.0,3.0,4,12,1,0,1,1,2,1.0,5,5,5650000.0
2,100.0,3.0,12,13,0,0,0,1,2,1.0,0,6,4750000.0
2,85.0,2.0,1,4,1,0,1,0,2,1.0,9,6,1200000.0
2,110.0,3.0,11,13,1,0,0,1,2,1.0,0,6,3445000.0
2,156.0,4.0,2,6,1,0,2,1,2,1.0,5,5,8000000.0
2,102.0,2.0,5,6,1,0,1,0,1,1.0,8,6,1300000.0
2,130.0,3.0,3,16,1,0,0,1,2,1.0,5,5,6000000.0
10,100.0,2.0,1,3,0,0,2,0,2,1.0,6,6,4500000.0
10,70.0,2.0,9,13,1,0,2,0,2,1.0,1,6,4250000.0
10,65.0,2.0,5,5,1,0,0,0,2,1.0,0,6,4600000.0
10,80.0,2.0,1,6,1,0,0,0,2,1.0,0,4,5250000.0
10,54.0,1.0,12,14,1,0,0,1,2,1.0,0,5,5500000.0
10,70.0,2.0,4,7,1,0,0,0,2,1.0,0,5,4150000.0
10,90.0,3.0,9,12,0,0,0,1,2,1.0,7,6,3800000.0
10,55.0,1.0,5,6,0,1,0,0,1,1.0,5,6,1750000.0
10,55.0,1.0,5,12,1,0,2,1,2,1.0,4,5,3500000.0
10,149.0,3.0,7,10,1,0,2,1,2,1.0,6,6,10400000.0
10,90.0,2.0,4,11,0,0,2,1,2,1.0,5,5,3250000.0
10,85.0,2.0,2,4,1,0,2,0,1,1.0,9,6,1975000.0
10,70.0,2.0,3,14,0,0,2,1,2,1.0,2,6,3850000.0
10,140.0,3.0,2,5,1,0,2,0,2,1.0,8,6,4100000.0
10,80.0,2.0,3,5,1,0,1,0,1,1.0,5,6,4200000.0
10,220.0,5.0,4,6,1,0,0,0,2,1.0,5,6,4000000.0
10,150.0,4.0,5,5,1,0,1,0,2,2.0,4,6,4350000.0
12,103.0,2.0,2,9,1,0,0,1,2,1.0,3,5,13500000.0
12,65.0,1.0,1,9,1,0,0,1,2,1.0,3,5,6050000.0
